METHOD,TIME
Shading mask STD RNG,9.34161
Shading mask PCG RNG,9.42615
Shading mask XOSHIRO RNG,9.41146
Shading mask MIX RNG,9.60412
Shading mask EIGEN RNG,9.37367
Shading mask EIGEN CAST RNG,9.48976
Shading mask EIGEN VECTORIZED RNG,9.40295
Shading mask STD RNG,9.46946
Shading mask PCG RNG,9.36701
Shading mask XOSHIRO RNG,9.53985
Shading mask MIX RNG,9.49079
Shading mask EIGEN RNG,10.1219
Shading mask EIGEN CAST RNG,9.63543
Shading mask EIGEN VECTORIZED RNG,9.6909
Shading mask STD RNG,9.86404
Shading mask PCG RNG,9.96481
Shading mask XOSHIRO RNG,9.54703
Shading mask MIX RNG,10.1799
Shading mask EIGEN RNG,9.67208
Shading mask EIGEN CAST RNG,10.1124
Shading mask EIGEN VECTORIZED RNG,10.0073
Shading mask STD RNG,9.63648
Shading mask PCG RNG,9.27325
Shading mask XOSHIRO RNG,9.27436
Shading mask MIX RNG,9.59973
Shading mask EIGEN RNG,9.77385
Shading mask EIGEN CAST RNG,9.2178
Shading mask EIGEN VECTORIZED RNG,9.60797
Shading mask STD RNG,9.26989
Shading mask PCG RNG,9.79056
Shading mask XOSHIRO RNG,9.34552
Shading mask MIX RNG,9.77778
Shading mask EIGEN RNG,9.73659
Shading mask EIGEN CAST RNG,9.94003
Shading mask EIGEN VECTORIZED RNG,9.89683
Shading mask STD RNG,9.68508
Shading mask PCG RNG,9.91781
Shading mask XOSHIRO RNG,9.59608
Shading mask MIX RNG,10.0661
Shading mask EIGEN RNG,10.0146
Shading mask EIGEN CAST RNG,9.66891
Shading mask EIGEN VECTORIZED RNG,10.0263
Shading mask STD RNG,10.1749
Shading mask PCG RNG,9.9484
Shading mask XOSHIRO RNG,9.70802
Shading mask MIX RNG,9.92628
Shading mask EIGEN RNG,9.65167
Shading mask EIGEN CAST RNG,9.99586
Shading mask EIGEN VECTORIZED RNG,9.75693
Shading mask STD RNG,9.37248
Shading mask PCG RNG,9.2944
Shading mask XOSHIRO RNG,9.36354
Shading mask MIX RNG,9.38532
Shading mask EIGEN RNG,9.74463
Shading mask EIGEN CAST RNG,9.15524
Shading mask EIGEN VECTORIZED RNG,9.64233
Shading mask STD RNG,9.43756
Shading mask PCG RNG,9.50797
Shading mask XOSHIRO RNG,9.31393
Shading mask MIX RNG,9.85839
Shading mask EIGEN RNG,9.81268
Shading mask EIGEN CAST RNG,9.83512
Shading mask EIGEN VECTORIZED RNG,9.81144
Shading mask STD RNG,9.65452
Shading mask PCG RNG,9.67039
Shading mask XOSHIRO RNG,9.95926
Shading mask MIX RNG,9.75684
Shading mask EIGEN RNG,9.65145
Shading mask EIGEN CAST RNG,9.78479
Shading mask EIGEN VECTORIZED RNG,9.74571
Shading mask STD RNG,9.64507
Shading mask PCG RNG,9.588
Shading mask XOSHIRO RNG,9.45434
Shading mask MIX RNG,9.52428
Shading mask EIGEN RNG,9.64741
Shading mask EIGEN CAST RNG,9.26965
Shading mask EIGEN VECTORIZED RNG,9.73691
Shading mask STD RNG,9.45396
Shading mask PCG RNG,9.42904
Shading mask XOSHIRO RNG,9.51321
Shading mask MIX RNG,9.61533
Shading mask EIGEN RNG,9.77532
Shading mask EIGEN CAST RNG,9.71801
Shading mask EIGEN VECTORIZED RNG,9.74236
Shading mask STD RNG,9.86345
Shading mask PCG RNG,9.88498
Shading mask XOSHIRO RNG,9.79393
Shading mask MIX RNG,10.1377
Shading mask EIGEN RNG,10.1322
Shading mask EIGEN CAST RNG,10.8633
Shading mask EIGEN VECTORIZED RNG,10.1979
