METHOD,TIME
Shading mask PCG RNG,9.65245
Shading mask XOSHIRO RNG,9.62838
Shading mask MIX RNG,9.63403
Shading mask EIGEN RNG,9.75056
Shading mask EIGEN CAST RNG,9.68314
Shading mask EIGEN VECTORIZED RNG,9.54266
Shading mask STD RNG,9.23766
Shading mask PCG RNG,9.39249
Shading mask XOSHIRO RNG,9.19737
Shading mask MIX RNG,9.28306
Shading mask EIGEN RNG,9.38396
Shading mask EIGEN CAST RNG,9.23893
Shading mask EIGEN VECTORIZED RNG,9.37177
Shading mask STD RNG,9.56681
Shading mask PCG RNG,9.43611
Shading mask XOSHIRO RNG,9.58967
Shading mask MIX RNG,9.57278
Shading mask EIGEN RNG,9.40604
Shading mask EIGEN CAST RNG,9.52449
Shading mask EIGEN VECTORIZED RNG,9.63535
Shading mask STD RNG,9.52049
Shading mask PCG RNG,9.48662
Shading mask XOSHIRO RNG,9.53319
Shading mask MIX RNG,9.48863
Shading mask EIGEN RNG,9.95412
Shading mask EIGEN CAST RNG,9.7313
Shading mask EIGEN VECTORIZED RNG,9.53051
Shading mask STD RNG,9.3251
Shading mask PCG RNG,9.32153
Shading mask XOSHIRO RNG,9.16122
Shading mask MIX RNG,9.52095
Shading mask EIGEN RNG,9.30263
Shading mask EIGEN CAST RNG,9.10227
Shading mask EIGEN VECTORIZED RNG,9.27257
Shading mask STD RNG,9.33528
Shading mask PCG RNG,9.46573
Shading mask XOSHIRO RNG,9.48342
Shading mask MIX RNG,9.58344
Shading mask EIGEN RNG,9.71318
Shading mask EIGEN CAST RNG,9.09189
Shading mask EIGEN VECTORIZED RNG,9.59215
Shading mask STD RNG,9.63356
Shading mask PCG RNG,9.69799
Shading mask XOSHIRO RNG,9.66293
Shading mask MIX RNG,9.67992
Shading mask EIGEN RNG,9.67133
Shading mask EIGEN CAST RNG,9.47082
Shading mask EIGEN VECTORIZED RNG,9.73106
Shading mask STD RNG,9.5476
Shading mask PCG RNG,9.5807
Shading mask XOSHIRO RNG,9.56305
Shading mask MIX RNG,9.7106
Shading mask EIGEN RNG,9.59127
Shading mask EIGEN CAST RNG,9.39225
Shading mask EIGEN VECTORIZED RNG,9.31367
Shading mask STD RNG,9.66011
Shading mask PCG RNG,9.62345
Shading mask XOSHIRO RNG,9.80987
Shading mask MIX RNG,9.82647
Shading mask EIGEN RNG,9.72612
Shading mask EIGEN CAST RNG,9.61611
Shading mask EIGEN VECTORIZED RNG,9.8423
Shading mask STD RNG,9.60223
Shading mask PCG RNG,9.79869
Shading mask XOSHIRO RNG,9.45253
Shading mask MIX RNG,9.60539
Shading mask EIGEN RNG,9.79178
Shading mask EIGEN CAST RNG,9.65222
Shading mask EIGEN VECTORIZED RNG,9.69562
Shading mask STD RNG,9.63468
Shading mask PCG RNG,9.61856
Shading mask XOSHIRO RNG,9.65787
Shading mask MIX RNG,9.67926
Shading mask EIGEN RNG,9.67251
Shading mask EIGEN CAST RNG,9.24997
Shading mask EIGEN VECTORIZED RNG,9.50447
Shading mask STD RNG,9.49855
Shading mask PCG RNG,9.81284
Shading mask XOSHIRO RNG,9.47323
Shading mask MIX RNG,9.82388
Shading mask EIGEN RNG,9.31563
Shading mask EIGEN CAST RNG,9.44846
Shading mask EIGEN VECTORIZED RNG,9.56684
Shading mask STD RNG,9.43978
Shading mask PCG RNG,9.48296
Shading mask XOSHIRO RNG,9.42147
Shading mask MIX RNG,9.72071
Shading mask EIGEN RNG,9.64824
Shading mask EIGEN CAST RNG,9.46352
Shading mask EIGEN VECTORIZED RNG,9.4785
Shading mask STD RNG,9.19739
